Nodes,Join,Leave
10,8.093205173965544,0.1389782028272748
10,7.414015732938424,0.13911838689818978
10,7.381487675011158,0.13882459606975317
20,12.55865917308256,0.4580465198960155
20,13.005539376987144,0.4657044350169599
20,12.93207664694637,0.459741200087592
30,19.407974024070427,0.8887189789675176
30,19.55192536697723,0.8165459157899022
30,19.699691761052236,0.8211288950406015
40,26.579426556127146,1.2981701958924532
40,26.190715089207515,1.3593718169722706
40,26.10054038488306,1.3554444808978587
50,36.03044668096118,2.0042249120306224
50,36.56102704606019,1.9466673501301557
50,32.844859341857955,1.9826917140744627
